Sport,TotPkts,TotBytes,SrcPkts,DstPkts,SrcBytes,service,flag,protocol_type,count,srv_count,dst_host_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_bytes,class
54991,20,1276,10,10,644,eco_i,SF,icmp,1,15,2,1,0,0,anomaly
54993,20,1276,10,10,644,uucp,S0,tcp,135,9,255,0.04,0.07,0,anomaly
54994,20,1276,10,10,644,finger,S0,tcp,24,12,255,0.23,0.04,0,anomaly
54995,20,1276,10,10,644,domain_u,SF,udp,148,228,255,1,0,43,normal
54996,20,1276,10,10,644,ftp_data,SF,tcp,2,2,175,0.25,0.02,0,normal
54997,20,1276,10,10,644,private,REJ,tcp,206,4,255,0.02,0.08,0,anomaly
54999,18,1152,10,8,644,private,REJ,tcp,175,1,255,0,0.84,0,anomaly
55000,18,1152,10,8,644,http,SF,tcp,4,4,255,1,0,2794,normal
54998,18,1152,10,8,644,private,REJ,tcp,63,10,255,0.04,0.07,0,anomaly
55001,18,1152,10,8,644,smtp,SF,tcp,1,1,109,0.39,0.04,333,normal
55002,18,1152,10,8,644,netbios_dgm,RSTR,tcp,1,1,236,0,0.58,0,anomaly
55003,18,1152,10,8,644,http,S0,tcp,52,19,255,0.26,0.02,0,anomaly
55004,18,1152,10,8,644,netbios_dgm,REJ,tcp,125,7,255,0.02,0.07,0,anomaly
55005,18,1152,10,8,644,supdup,S0,tcp,168,21,255,0.08,0.06,0,anomaly
55007,20,1276,10,10,644,http,SF,tcp,1,1,21,1,0,2878,normal
55009,20,1276,10,10,644,private,S0,tcp,145,16,255,0.12,0.05,0,anomaly
55006,20,1276,10,10,644,urp_i,SF,icmp,3,2,255,0.36,0.01,0,normal
55008,20,1276,10,10,644,domain_u,SF,udp,9,14,84,0.99,0.02,42,normal
55010,20,1276,10,10,644,private,S0,tcp,138,6,255,0.02,0.07,0,anomaly
55011,20,1276,10,10,644,ftp_data,SF,tcp,1,1,44,0.55,0.07,0,normal
55012,20,1276,10,10,644,auth,S0,tcp,276,9,255,0.04,0.06,0,anomaly
55013,20,1276,10,10,644,http,SF,tcp,10,27,48,1,0,2790,normal
55014,18,1152,10,8,644,http,SF,tcp,10,10,168,1,0,5683,normal
55015,18,1152,10,8,644,private,REJ,tcp,248,8,255,0.03,0.07,0,anomaly
55016,18,1152,10,8,644,http,SF,tcp,2,31,24,1,0,3982,normal
55017,18,1152,10,8,644,uucp_path,REJ,tcp,135,7,255,0.03,0.07,0,anomaly
55018,18,1152,10,8,644,domain,S0,tcp,220,19,255,0.01,0.07,0,anomaly
55020,18,1152,10,8,644,eco_i,SF,icmp,1,44,1,1,0,0,anomaly
55019,18,1152,10,8,644,http,SF,tcp,9,9,123,1,0,379,normal
55021,18,1152,10,8,644,private,S0,tcp,212,7,72,0.1,0.11,0,anomaly
55025,20,1276,10,10,644,http,SF,tcp,10,10,255,1,0,3762,normal
55023,20,1276,10,10,644,ftp,S0,tcp,250,13,255,0,0.07,0,anomaly
55022,20,1276,10,10,644,private,REJ,tcp,132,15,255,0.06,0.06,0,anomaly
55024,20,1276,10,10,644,other,SF,udp,3,2,117,0.02,0.54,105,normal
55027,20,1276,10,10,644,http,SF,tcp,11,11,156,1,0,1416,normal
55026,20,1276,10,10,644,http,SF,tcp,3,9,255,1,0,1483,normal
55029,20,1276,10,10,644,domain_u,SF,udp,109,189,255,1,0.01,44,normal
55028,20,1276,10,10,644,private,REJ,tcp,146,18,255,0.04,0.08,0,anomaly
55031,18,1152,10,8,644,csnet_ns,S0,tcp,300,6,255,0.01,0.07,0,anomaly
55030,18,1152,10,8,644,smtp,SF,tcp,1,2,243,0.48,0.02,331,normal
55032,18,1152,10,8,644,other,SF,udp,1,1,7,0.14,0.29,102,normal
55033,18,1152,10,8,644,http,SF,tcp,4,5,4,1,0,750,normal
55035,18,1152,10,8,644,other,SF,udp,2,2,255,0.01,0.42,105,normal
55034,18,1152,10,8,644,private,S0,tcp,129,16,255,0.05,0.05,0,anomaly
55036,18,1152,10,8,644,http,SF,tcp,32,32,255,1,0,354,normal
55037,18,1152,10,8,644,http,SF,tcp,1,1,66,1,0,306,normal
55041,20,1276,10,10,644,http,REJ,tcp,1,2,1,1,0,0,normal
55039,20,1276,10,10,644,http,SF,tcp,3,3,153,1,0,7227,normal
55040,20,1276,10,10,644,private,SF,udp,82,82,255,0.71,0.29,0,anomaly
55038,20,1276,10,10,644,http,SF,tcp,1,1,43,1,0,761,normal
55042,20,1276,10,10,644,http,SF,tcp,15,15,242,1,0,1212,normal
55043,20,1276,10,10,644,http,SF,tcp,2,3,10,1,0,9165,normal
55044,20,1276,10,10,644,http,SF,tcp,21,21,21,1,0,2243,normal
55045,20,1276,10,10,644,http,REJ,tcp,1,1,23,1,0,0,normal
143,2,180,2,0,180,http,SF,tcp,3,7,255,0.99,0.01,301,normal
133,2,124,2,0,124,smtp,SF,tcp,2,2,255,0.6,0.03,335,normal
55046,18,1152,10,8,644,http,REJ,tcp,1,1,6,1,0,0,normal
55047,18,1152,10,8,644,http,SF,tcp,1,1,3,1,0,511,normal
55048,18,1152,10,8,644,http,SF,tcp,4,5,107,1,0,431,normal
55050,18,1152,10,8,644,private,RSTR,tcp,2,2,255,0.01,0.69,0,anomaly
55051,18,1152,10,8,644,Z39_50,REJ,tcp,110,17,255,0.07,0.07,0,anomaly
55049,18,1152,10,8,644,private,SF,udp,4,1,255,0.94,0.01,145,normal
55052,18,1152,10,8,644,http,SF,tcp,6,6,6,1,0,974,normal
55053,18,1152,10,8,644,http,SF,tcp,7,7,107,1,0,2649,normal
55056,20,1276,10,10,644,uucp_path,REJ,tcp,246,20,255,0.08,0.07,0,anomaly
55057,20,1276,10,10,644,bgp,REJ,tcp,272,19,255,0.07,0.08,0,anomaly
55055,20,1276,10,10,644,csnet_ns,S0,tcp,259,8,255,0.03,0.08,0,anomaly
55054,20,1276,10,10,644,http,SF,tcp,9,10,255,0.98,0.01,275,normal
55058,20,1276,10,10,644,bgp,S0,tcp,294,6,255,0.03,0.07,0,anomaly
55059,20,1276,10,10,644,finger,SF,tcp,1,1,195,0.03,0.03,138,normal
55060,20,1276,10,10,644,domain_u,SF,udp,96,178,255,1,0.01,46,normal
55061,20,1276,10,10,644,smtp,SF,tcp,1,1,138,0.57,0.03,334,normal
55063,18,1152,10,8,644,domain_u,SF,udp,79,159,255,1,0.01,139,normal
55062,18,1152,10,8,644,ftp,SF,tcp,1,1,176,0.28,0.02,903,normal
55064,18,1152,10,8,644,private,S0,tcp,190,20,255,0.08,0.08,0,anomaly
55065,18,1152,10,8,644,ldap,REJ,tcp,135,5,255,0,0.07,0,anomaly
55066,18,1152,10,8,644,http,SF,tcp,2,2,2,1,0,138,normal
55067,18,1152,10,8,644,http,SF,tcp,1,1,5,1,0,1357,normal
55068,18,1152,10,8,644,private,S0,tcp,123,7,255,0.03,0.08,0,anomaly
55069,18,1152,10,8,644,supdup,S0,tcp,245,20,255,0.03,0.07,0,anomaly
55070,20,1276,10,10,644,other,SF,udp,3,1,255,0,0.61,0,normal
55072,20,1276,10,10,644,http,SF,tcp,3,4,94,1,0,1011,normal
55071,20,1276,10,10,644,ecr_i,SF,icmp,263,263,255,1,0,0,anomaly
55075,20,1276,10,10,644,private,S0,tcp,109,13,255,0.03,0.06,0,anomaly
55077,20,1276,10,10,644,http,SF,tcp,9,9,255,1,0,8412,normal
55076,20,1276,10,10,644,bgp,REJ,tcp,145,8,255,0.03,0.09,0,anomaly
55074,20,1276,10,10,644,netbios_dgm,REJ,tcp,250,2,255,0.01,0.07,0,anomaly
55073,20,1276,10,10,644,http,SF,tcp,8,8,108,1,0,1719,normal
55079,18,1152,10,8,644,http,SF,tcp,2,3,50,1,0,981,normal
55080,18,1152,10,8,644,http,SF,tcp,2,2,11,1,0,10352,normal
55078,18,1152,10,8,644,gopher,SH,tcp,1,1,255,0,1,0,anomaly
55081,18,1152,10,8,644,http,SF,tcp,3,3,31,1,0,16096,normal
55082,18,1152,10,8,644,ftp_data,SF,tcp,2,2,6,1,0,0,anomaly
55084,18,1152,10,8,644,telnet,S0,tcp,13,4,255,0.25,0.02,0,anomaly
55083,18,1152,10,8,644,private,S0,tcp,87,1,255,0,0.06,0,anomaly
55085,18,1152,10,8,644,http,SF,tcp,2,2,27,1,0,283,normal
55086,20,1276,10,10,644,vmnet,S0,tcp,292,13,255,0.05,0.08,0,anomaly
55087,20,1276,10,10,644,systat,S0,tcp,295,18,255,0,0.08,0,anomaly
55089,20,1276,10,10,644,http_443,S0,tcp,143,15,255,0.06,0.05,0,anomaly
55088,20,1276,10,10,644,domain_u,SF,udp,278,277,255,1,0.01,78,normal
55090,20,1276,10,10,644,ftp_data,SF,tcp,1,1,6,0.83,0.33,0,normal
55092,20,1276,10,10,644,efs,S0,tcp,102,19,255,0.07,0.06,0,anomaly
55091,20,1276,10,10,644,eco_i,SF,icmp,1,46,1,1,0,0,anomaly
55093,20,1276,10,10,644,whois,S0,tcp,251,3,255,0.01,0.08,0,anomaly
55094,18,1152,10,8,644,http,SF,tcp,4,4,83,1,0,8437,normal
55096,18,1152,10,8,644,ftp_data,SF,tcp,2,2,185,0.5,0.38,0,normal
55095,18,1152,10,8,644,domain_u,SF,udp,222,302,255,0.99,0.01,128,normal
55097,18,1152,10,8,644,ftp_data,SF,tcp,2,2,255,0.02,0.02,0,normal
55098,18,1152,10,8,644,remote_job,S0,tcp,260,4,255,0.02,0.07,0,anomaly
55099,18,1152,10,8,644,other,RSTR,tcp,2,2,255,0.01,0.74,0,anomaly
55100,18,1152,10,8,644,finger,SF,tcp,1,1,196,0.03,0.03,135,normal
55101,18,1152,10,8,644,http,SF,tcp,1,6,94,1,0,529,normal
55103,20,1276,10,10,644,ftp_data,SF,tcp,3,2,99,0.32,0.06,0,normal
55104,20,1276,10,10,644,http,SF,tcp,11,12,69,1,0,465,normal
55105,20,1276,10,10,644,gopher,S0,tcp,44,12,255,0.05,0.08,0,anomaly
55102,20,1276,10,10,644,http,SF,tcp,2,7,18,1,0,6834,normal
55106,20,1276,10,10,644,ecr_i,SF,icmp,511,511,255,0.83,0.02,0,anomaly
55108,20,1276,10,10,644,imap4,REJ,tcp,272,15,255,0.06,0.07,0,anomaly
55109,20,1276,10,10,644,private,S0,tcp,122,19,255,0.07,0.05,0,anomaly
55107,20,1276,10,10,644,whois,S0,tcp,287,3,255,0.01,0.05,0,anomaly
55111,18,1152,10,8,644,http,REJ,tcp,1,3,118,1,0,0,normal
55112,18,1152,10,8,644,other,REJ,tcp,486,1,255,0,0.91,0,anomaly
55110,18,1152,10,8,644,other,SF,udp,22,6,255,0.02,0.06,0,anomaly
55113,18,1152,10,8,644,iso_tsap,S0,tcp,286,9,255,0.04,0.07,0,anomaly
55114,18,1152,10,8,644,ecr_i,SF,icmp,1,1,247,1,0,0,normal
55115,18,1152,10,8,644,smtp,SF,tcp,1,2,89,0.31,0.03,333,normal
55116,18,1152,10,8,644,ftp_data,SF,tcp,1,1,201,0.02,0.04,0,normal
55117,18,1152,10,8,644,smtp,SF,tcp,1,1,163,0.36,0.02,329,normal
55118,20,1276,10,10,644,private,SF,udp,35,34,255,0.13,0.02,0,anomaly
55120,20,1276,10,10,644,ftp_data,S0,tcp,28,2,255,0.16,0.03,0,anomaly
55119,20,1276,10,10,644,private,S0,tcp,108,18,255,0.07,0.07,0,anomaly
55121,20,1276,10,10,644,private,S0,tcp,101,5,255,0.06,0.07,0,anomaly
55122,20,1276,10,10,644,smtp,SF,tcp,1,2,255,0.39,0.17,364,normal
55123,20,1276,10,10,644,http,SF,tcp,12,21,172,1,0,656,normal
55124,20,1276,10,10,644,ftp,SF,tcp,1,2,255,0.56,0.02,1185,anomaly
55125,20,1276,10,10,644,http,SF,tcp,10,10,32,1,0,2470,normal
55127,18,1152,10,8,644,private,S0,tcp,223,10,255,0.04,0.05,0,anomaly
55129,18,1152,10,8,644,echo,S0,tcp,223,17,255,0.07,0.06,0,anomaly
55126,18,1152,10,8,644,http,SF,tcp,19,34,44,1,0,1938,normal
55128,18,1152,10,8,644,http,SF,tcp,4,7,11,1,0,4781,normal
55130,18,1152,10,8,644,ftp_data,SF,tcp,1,1,205,0.19,0.02,0,normal
55131,18,1152,10,8,644,http,SF,tcp,5,6,41,1,0,11564,normal
55132,18,1152,10,8,644,private,REJ,tcp,406,1,255,0,0.52,0,anomaly
55133,18,1152,10,8,644,http,SF,tcp,4,5,255,1,0,2445,normal
55134,20,1276,10,10,644,http,SF,tcp,6,6,255,1,0,426,normal
55135,20,1276,10,10,644,klogin,S0,tcp,143,14,255,0.05,0.06,0,anomaly
55136,20,1276,10,10,644,http,SF,tcp,17,17,202,1,0,762,normal
55137,18,1152,10,8,644,smtp,SF,tcp,1,1,255,0.08,0.02,575,normal
55138,18,1152,10,8,644,smtp,SF,tcp,1,1,214,0.63,0.02,330,normal
55139,18,1152,10,8,644,smtp,SF,tcp,2,1,28,0.71,0.11,326,normal
55140,18,1152,10,8,644,uucp_path,S0,tcp,201,18,255,0.07,0.07,0,anomaly
55141,18,1152,10,8,644,http,SF,tcp,1,1,16,1,0,34660,normal
55144,18,1152,10,8,644,http,SF,tcp,4,5,255,0.94,0.01,2698,normal
55142,20,1276,10,10,644,netbios_ns,S0,tcp,124,19,255,0.07,0.05,0,anomaly
55143,20,1276,10,10,644,private,REJ,tcp,162,1,255,0,0.8,0,anomaly
55145,20,1276,10,10,644,ecr_i,SF,icmp,2,4,2,1,0,0,anomaly
55147,20,1276,10,10,644,iso_tsap,S0,tcp,277,17,255,0.07,0.07,0,anomaly
55146,20,1276,10,10,644,http,SF,tcp,4,4,255,1,0,8549,normal
55148,20,1276,10,10,644,link,S0,tcp,274,22,255,0.09,0.05,0,anomaly
55149,20,1276,10,10,644,sunrpc,S0,tcp,141,12,255,0.06,0.06,0,anomaly
55152,18,1152,10,8,644,http,SF,tcp,3,3,128,1,0,6008,normal
55151,18,1152,10,8,644,http,SF,tcp,8,23,37,1,0,1411,normal
55153,18,1152,10,8,644,http,SF,tcp,1,1,34,1,0,12984,normal
55150,18,1152,10,8,644,smtp,SF,tcp,1,3,193,0.68,0.02,449,normal
55154,18,1152,10,8,644,http,SF,tcp,10,11,39,1,0,449,normal
55155,18,1152,10,8,644,login,S0,tcp,103,3,255,0.01,0.07,0,anomaly
55156,18,1152,10,8,644,ftp_data,SF,tcp,1,1,3,1,0,0,anomaly
55157,18,1152,10,8,644,finger,S0,tcp,246,20,255,0.08,0.07,0,anomaly
55159,20,1276,10,10,644,eco_i,SF,icmp,1,50,1,1,0,0,anomaly
55160,20,1276,10,10,644,http,SF,tcp,7,7,29,1,0,169,normal
55158,20,1276,10,10,644,http,SF,tcp,32,34,101,1,0,304,normal
55161,20,1276,10,10,644,kshell,S0,tcp,125,24,255,0.09,0.05,0,anomaly
55162,20,1276,10,10,644,ftp_data,SF,tcp,8,8,255,0.17,0.02,0,normal
55163,20,1276,10,10,644,http,SF,tcp,2,2,2,1,0,12884,normal
55164,20,1276,10,10,644,smtp,SF,tcp,1,3,255,0.62,0.02,328,normal
55165,20,1276,10,10,644,http,SF,tcp,6,6,38,1,0,955,normal
55169,18,1152,10,8,644,urp_i,SF,icmp,9,2,255,0.06,0.01,0,normal
55167,18,1152,10,8,644,private,SF,udp,4,4,255,0.28,0.01,0,anomaly
55166,18,1152,10,8,644,domain_u,SF,udp,171,173,255,0.91,0.01,77,normal
55168,18,1152,10,8,644,ftp,RSTO,tcp,250,3,255,0.01,0.07,0,anomaly
55170,18,1152,10,8,644,auth,S0,tcp,238,7,255,0.03,0.07,0,anomaly
55171,18,1152,10,8,644,kshell,S0,tcp,102,2,255,0.01,0.06,0,anomaly
55173,18,1152,10,8,644,finger,SF,tcp,1,1,235,0.05,0.03,142,normal
55172,18,1152,10,8,644,http,SF,tcp,2,2,75,1,0,912,normal
55177,20,1276,10,10,644,http,SF,tcp,2,10,73,1,0,1789,normal
55174,20,1276,10,10,644,eco_i,SF,icmp,1,1,1,1,0,0,anomaly
55175,20,1276,10,10,644,vmnet,S0,tcp,281,2,255,0.01,0.07,0,anomaly
55176,20,1276,10,10,644,telnet,S0,tcp,30,2,255,0.2,0.03,0,anomaly
55178,20,1276,10,10,644,ftp_data,S0,tcp,276,8,255,0.03,0.06,0,anomaly
55179,20,1276,10,10,644,http,SF,tcp,5,5,212,0.88,0.02,1380,normal
55180,20,1276,10,10,644,private,S0,tcp,163,9,255,0.04,0.1,0,anomaly
55181,20,1276,10,10,644,eco_i,SF,icmp,1,21,2,1,0,0,anomaly
55182,18,1152,10,8,644,private,S0,tcp,301,20,255,0.07,0.05,0,anomaly
55185,18,1152,10,8,644,http,SF,tcp,28,28,255,1,0,870,normal
55184,18,1152,10,8,644,eco_i,SF,icmp,1,23,1,1,0,0,anomaly
55183,18,1152,10,8,644,telnet,SF,tcp,1,1,117,0.01,0.04,1468,normal
55186,18,1152,10,8,644,http,SF,tcp,16,16,64,1,0,1423,normal
55188,18,1152,10,8,644,other,RSTR,tcp,2,2,255,0.01,0.74,0,anomaly
55187,18,1152,10,8,644,sql_net,SH,tcp,1,1,255,0,1,0,anomaly
55189,18,1152,10,8,644,ecr_i,SF,icmp,46,46,255,0.18,0.02,0,anomaly
55191,20,1276,10,10,644,http,SF,tcp,1,2,230,1,0,9551,normal
55192,20,1276,10,10,644,http,SF,tcp,39,39,137,1,0,864,normal
55193,20,1276,10,10,644,private,RSTR,tcp,1,1,255,0,0.38,0,anomaly
55190,20,1276,10,10,644,http,SF,tcp,6,6,13,1,0,10369,normal
55194,20,1276,10,10,644,vmnet,S0,tcp,211,22,255,0.09,0.05,0,anomaly
55196,20,1276,10,10,644,smtp,SF,tcp,1,1,27,0.74,0.11,330,normal
55195,20,1276,10,10,644,http,SF,tcp,12,12,230,1,0,6924,normal
55197,20,1276,10,10,644,mtp,REJ,tcp,280,11,255,0.04,0.07,0,anomaly
55198,18,1152,10,8,644,http,SF,tcp,1,4,5,1,0,709,normal
55201,18,1152,10,8,644,http,SF,tcp,17,35,127,1,0,851,normal
55199,18,1152,10,8,644,http,SF,tcp,6,6,255,1,0,3360,normal
55200,18,1152,10,8,644,smtp,SF,tcp,1,1,106,0.41,0.04,328,normal
55203,18,1152,10,8,644,eco_i,SF,icmp,1,44,1,1,0,0,anomaly
55205,18,1152,10,8,644,csnet_ns,S0,tcp,201,1,255,0.02,0.07,0,anomaly
55202,18,1152,10,8,644,http,SF,tcp,3,3,255,1,0,1483,normal
55204,18,1152,10,8,644,auth,REJ,tcp,276,14,255,0.05,0.07,0,anomaly
55209,20,1276,10,10,644,http,REJ,tcp,1,1,7,1,0,0,normal
55208,20,1276,10,10,644,domain_u,SF,udp,145,225,255,1,0,134,normal
55207,20,1276,10,10,644,http,SF,tcp,1,1,1,1,0,2719,normal
55206,20,1276,10,10,644,http,SF,tcp,8,8,45,1,0,771,normal
55211,20,1276,10,10,644,vmnet,S0,tcp,258,10,255,0.04,0.05,0,anomaly
55212,20,1276,10,10,644,private,S0,tcp,256,12,255,0.04,0.07,0,anomaly
55210,20,1276,10,10,644,telnet,SF,tcp,1,1,251,0.45,0.01,9598,normal
55213,20,1276,10,10,644,http,SF,tcp,12,12,255,1,0,651,normal
55215,18,1152,10,8,644,http,SF,tcp,26,44,255,1,0,447,normal
55216,18,1152,10,8,644,http,S0,tcp,14,6,94,0.28,0.04,0,anomaly
55214,18,1152,10,8,644,ftp_data,SF,tcp,2,2,11,0.36,0.27,0,normal
55218,18,1152,10,8,644,http,SF,tcp,30,31,77,1,0,1951,normal
55219,18,1152,10,8,644,bgp,S0,tcp,138,25,255,0.1,0.05,0,anomaly
55217,18,1152,10,8,644,domain_u,SF,udp,4,6,255,0.96,0.01,42,normal
55220,18,1152,10,8,644,ftp,S0,tcp,300,7,255,0.03,0.07,0,anomaly
55221,18,1152,10,8,644,time,S0,tcp,199,9,255,0.04,0.07,0,anomaly
55222,20,1276,10,10,644,http,SF,tcp,15,15,255,1,0,453,normal
55224,20,1276,10,10,644,private,RSTR,tcp,2,2,255,0.01,0.5,0,anomaly
55223,20,1276,10,10,644,ftp,RSTO,tcp,1,1,212,0.2,0.02,0,normal
55225,20,1276,10,10,644,private,S0,tcp,144,15,255,0.12,0.06,0,anomaly
55227,20,1276,10,10,644,sql_net,S0,tcp,104,4,255,0.07,0.07,0,anomaly
55226,20,1276,10,10,644,http,SF,tcp,18,18,18,1,0,1980,normal
55228,20,1276,10,10,644,http,SF,tcp,2,2,2,1,0,5530,normal
55229,20,1276,10,10,644,http,SF,tcp,7,11,211,1,0,321,normal
55231,18,1152,10,8,644,http,SF,tcp,7,7,32,1,0,1701,normal
55230,18,1152,10,8,644,eco_i,SF,icmp,1,25,4,1,0,0,anomaly
55232,18,1152,10,8,644,other,SF,udp,3,1,255,0,0.67,0,normal
55233,18,1152,10,8,644,private,S0,tcp,74,16,255,0.02,0.06,0,anomaly
55234,18,1152,10,8,644,ftp_data,SF,tcp,1,1,53,0.25,0.09,0,normal
55235,18,1152,10,8,644,hostnames,REJ,tcp,225,2,255,0.01,0.08,0,anomaly
55236,18,1152,10,8,644,telnet,S0,tcp,66,16,255,0.2,0.04,0,anomaly
55237,18,1152,10,8,644,ftp_data,SF,tcp,1,7,7,1,0,0,anomaly
55240,20,1276,10,10,644,http,SF,tcp,7,7,255,1,0,420,normal
55238,20,1276,10,10,644,eco_i,SF,icmp,1,35,1,1,0,0,anomaly
55239,20,1276,10,10,644,smtp,S0,tcp,2,2,160,0.4,0.05,0,normal
55241,20,1276,10,10,644,http,SF,tcp,4,4,54,1,0,1229,normal
55242,20,1276,10,10,644,time,RSTR,tcp,1,1,255,0,0.16,0,anomaly
55244,20,1276,10,10,644,ftp_data,SF,tcp,1,1,255,0.32,0.02,0,normal
55243,20,1276,10,10,644,uucp,S0,tcp,139,13,255,0.05,0.07,0,anomaly
55245,20,1276,10,10,644,http,SF,tcp,28,60,255,1,0,573,normal
55248,18,1152,10,8,644,exec,RSTO,tcp,144,16,255,0.04,0.06,0,anomaly
55249,18,1152,10,8,644,netbios_dgm,S0,tcp,241,19,255,0.07,0.07,0,anomaly
55247,18,1152,10,8,644,http,SF,tcp,15,19,107,1,0,821,normal
55246,18,1152,10,8,644,ecr_i,SF,icmp,213,213,255,1,0,0,anomaly
55250,18,1152,10,8,644,eco_i,SF,icmp,1,45,1,1,0,0,anomaly
55252,18,1152,10,8,644,private,REJ,tcp,36,1,255,0,0.47,0,anomaly
55251,18,1152,10,8,644,private,SF,udp,3,2,255,0.94,0.01,146,normal
55253,18,1152,10,8,644,private,S0,tcp,254,17,255,0.07,0.06,0,anomaly
55255,20,1276,10,10,644,smtp,SF,tcp,1,2,202,0.58,0.02,327,normal
55254,20,1276,10,10,644,telnet,S0,tcp,295,7,255,0.03,0.05,0,anomaly
